name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
2br6,4.6901,12.8720,-64.3600,8.1819,0.0000,2.96
2adu,30.4280,36.2840,-181.4200,5.8489,0.0070,7.74
1g3b,29.2721,35.0920,-175.4600,2.9988,2.8212,5.74
1vyq,34.1312,37.1600,-185.8000,0.1045,2.9243,5.3
1wkm,20.2503,25.9260,-129.6300,4.6212,1.0545,0.82
1w6y,25.9451,27.3560,-136.7800,1.4109,0.0000,5.36
1byk,44.7472,48.6380,-243.1900,2.1305,1.7603,5
1oko,26.1447,26.2400,-131.2000,0.0280,0.0673,4.54
2hdr,13.9446,15.4920,-77.4600,1.5474,0.0000,1.72
1f2o,19.7204,24.8200,-124.1000,4.1733,0.9263,1.91
1gi8,26.3771,29.5500,-147.7500,1.1601,2.0128,5.05
2fwp,18.9530,22.9300,-114.6500,3.2251,0.7519,2.92
1ulg,22.0242,23.4360,-117.1800,-0.0000,1.4118,4.21
1w8l,17.3028,18.1440,-90.7200,0.8387,0.0025,0.49
1v2q,25.0995,29.6880,-148.4400,1.2772,3.3114,4.13
1rle,35.4857,38.9920,-194.9600,0.4934,3.0128,5.8
1tnl,10.0187,13.7140,-68.5700,3.4695,0.2259,1.88
1w1d,24.0093,31.8740,-159.3700,1.3785,6.4862,6.52
1yid,32.1338,42.2460,-211.2300,6.9236,3.1885,5
1tnj,12.5246,14.6020,-73.0100,1.7419,0.3355,1.96
1fj4,12.4254,14.2100,-71.0500,1.5401,0.2445,4.59
6tim,21.8544,27.0680,-135.3400,3.4707,1.7429,3.21
2fzz,53.3894,63.2300,-316.1500,3.5689,6.2717,10.52
1jn2,1.8615,9.8360,-49.1800,1.1279,6.8466,4.09
1fdq,3.3467,15.4160,-77.0800,10.5532,1.5161,7.27
1fwv,13.9171,23.3580,-116.7900,7.3993,2.0417,3.72
1n1t,35.5908,39.9620,-199.8100,2.4354,1.9358,3.85
2i0g,34.2799,36.6120,-183.0600,1.7100,0.6220,9.72
1rgk,24.6906,30.8060,-154.0300,4.1600,1.9554,4.31
1d5r,17.3365,22.4040,-112.0200,3.8525,1.2150,1.82
9abp,31.5594,31.9200,-159.6000,0.3286,0.0320,8
1oai,23.0107,34.3100,-171.5500,1.2380,10.0613,5
1fwu,11.7307,27.0760,-135.3800,2.6485,12.6968,3.7
1hqg,12.5121,12.5660,-62.8300,-0.0000,0.0539,3
8abp,32.2414,32.4280,-162.1400,0.1123,0.0743,8
1mmp,32.3270,38.9140,-194.5700,5.8832,0.7038,6.07
2ivu,35.0306,38.8060,-194.0300,1.3130,2.4625,6.43
1vja,49.9916,57.4400,-287.2000,3.8941,3.5543,7.7
2f8i,6.2016,11.5240,-57.6200,3.8853,1.4370,7.26
830c,48.3453,61.2660,-306.3300,9.5686,3.3522,9.28
1af6,38.1646,40.9540,-204.7700,1.1368,1.6526,1.82
1q63,36.4167,40.1960,-200.9800,3.4232,0.3561,5.85
1w7x,46.7096,52.3560,-261.7800,2.1985,3.4480,8.4
1mhw,39.7605,47.6520,-238.2600,2.7971,5.0944,7.35
1jd5,36.9381,50.6940,-253.4700,3.1241,10.6318,6.62
1uxb,13.2312,16.4820,-82.4100,0.2946,2.9562,2.15
1icj,11.6279,22.0660,-110.3300,2.0054,8.4327,2.22
1obx,20.9656,26.5400,-132.7000,0.1461,5.4283,5.72
1o3k,35.6254,35.7920,-178.9600,0.1214,0.0451,6.77
2bsu,62.1534,95.5020,-477.5100,17.0387,16.3098,5.66
1agm,64.1231,68.4740,-342.3700,0.2285,4.1224,12
1gny,37.5467,40.8500,-204.2500,0.0106,3.2926,4.14
1we2,9.2524,18.5680,-92.8400,8.9054,0.4102,4.36
1z3t,38.2026,39.2380,-196.1900,0.0000,1.0354,3.94
1heg,17.8630,40.0640,-200.3200,3.9230,18.2781,7.74
1o2g,31.8866,38.7080,-193.5400,3.0856,3.7358,6.12
1m9n,53.3827,60.2380,-301.1900,5.6217,1.2336,6.92
1o2x,31.9958,38.7020,-193.5100,3.3898,3.3164,5.85
1o0o,22.0118,25.0820,-125.4100,0.1334,2.9368,5.1
7abp,28.4070,28.6500,-143.2500,0.2430,0.0000,6.46
1f2p,24.9120,29.4840,-147.4200,4.3716,0.2004,1.9
1gjb,32.6282,37.1480,-185.7400,0.1233,4.3965,6.35
1ykp,15.4853,22.6000,-113.0000,7.1145,0.0002,2.96
1joc,29.2404,32.8260,-164.1300,0.4908,3.0947,4.62
1dqx,36.3916,43.4600,-217.3000,6.6201,0.4483,11.05
1a7x,67.5251,72.3920,-361.9600,2.1807,2.6862,9.7
2hs2,36.3488,44.4240,-222.1200,4.6864,3.3888,8.31
1f8a,42.1990,54.1860,-270.9300,0.9458,11.0412,5
2f5t,39.5913,41.2360,-206.1800,0.0247,1.6199,5.17
1ofz,21.5816,21.5820,-107.9100,0.0004,0.0000,4.62
1af2,41.8202,45.6800,-228.4000,2.7408,1.1189,3.1
1qq9,19.8933,25.3740,-126.8700,4.6447,0.8360,2.06
1lrt,46.5174,50.7620,-253.8100,2.5440,1.7005,5.64
1m13,33.6123,45.4120,-227.0600,5.7770,6.0226,7.57
1pr1,31.9809,33.3440,-166.7200,0.5065,0.8566,5.3
2er6,55.6689,69.8820,-349.4100,4.4769,9.7361,7.22
1q95,49.1572,52.2580,-261.2900,1.1343,1.9665,7.57
1h9z,26.7354,28.8840,-144.4200,0.7086,1.4400,5.42
1jqe,60.4748,62.5720,-312.8600,1.0721,1.0251,6.44
1a42,38.2068,41.9160,-209.5800,1.8465,1.8627,9.89
1g3c,25.9459,34.3980,-171.9900,5.3375,3.1146,5.8
1axz,19.1593,19.3480,-96.7400,0.1695,0.0192,3.2
1r0x,56.1553,63.2140,-316.0700,3.6221,3.4365,3.83
1pu8,42.4594,43.4060,-217.0300,0.9466,0.0000,3.1
1pbk,48.4749,52.3880,-261.9400,1.5190,2.3941,9.05
2adm,28.1071,33.3600,-166.8000,3.3421,1.9108,5.7
1z4n,33.2968,35.9280,-179.6400,0.2901,2.3411,4.52
1rdi,13.3242,17.6160,-88.0800,4.2113,0.0805,2.06
1qpb,6.9734,8.3360,-41.6800,1.3626,0.0000,1.36
2dua,12.5115,16.8720,-84.3600,4.2689,0.0915,4.77
1tsl,15.6534,22.5980,-112.9900,4.2904,2.6542,6.15
1gi6,30.5819,33.6540,-168.2700,1.1011,1.9711,6.22
1caq,56.8686,64.8120,-324.0600,3.8027,4.1407,7.72
1urg,46.5754,48.3200,-241.6000,0.2587,1.4859,5.82
1xzx,41.1675,43.9500,-219.7500,1.2346,1.5478,10.22
3tlh,16.5161,23.0780,-115.3900,2.8305,3.7313,8.82
1tnk,12.4015,14.2780,-71.3900,1.5901,0.2864,1.49
1utc,32.5651,45.3140,-226.5700,0.6825,12.0664,4.55
1o9d,36.4702,43.8480,-219.2400,0.8056,6.5722,5.6
220l,16.1859,16.2760,-81.3800,0.0901,0.0000,3.4
1o8b,28.2829,30.1540,-150.7700,1.7133,0.1578,2.68
1vjc,32.9140,38.6380,-193.1900,2.2143,3.5098,3.58
5abp,31.7819,31.8700,-159.3500,0.0048,0.0833,6.64
1sri,28.3802,44.0520,-220.2600,13.5153,2.1565,6.08
1sts,39.1636,52.9600,-264.8000,0.0000,13.7964,5
1rgl,22.6109,27.2120,-136.0600,3.7952,0.8059,4.43
2fkf,27.9709,29.0880,-145.4400,0.0777,1.0395,2.92
1awi,51.8581,78.4700,-392.3500,2.4111,24.2008,4.05
1zsr,39.1593,58.7080,-293.5400,10.4258,9.1229,9.82
2g00,51.3636,62.7580,-313.7900,5.6550,5.7394,9.74
1ga8,23.9840,24.9020,-124.5100,0.0605,0.8575,1.8
1ws5,24.8043,26.5960,-132.9800,1.7640,0.0278,3.03
1rej,40.3872,42.3900,-211.9500,1.2560,0.7468,8.3
3pcb,19.3226,22.9260,-114.6300,3.6031,0.0002,2.4
1me8,39.3798,40.2160,-201.0800,0.1201,0.7162,7.19
1b6m,43.6123,50.9720,-254.8600,1.8419,5.5178,8.4
1gz9,31.3109,32.4740,-162.3700,0.0383,1.1249,3.51
5tln,42.6181,50.9480,-254.7400,6.0871,2.2429,6.37
1sgx,29.1173,30.6500,-153.2500,0.2715,1.2613,5.8
1owd,31.7093,34.6520,-173.2600,0.1096,2.8331,8.2
2a31,16.9008,19.2080,-96.0400,1.3703,0.9369,1.01
1w1g,24.1525,32.0480,-160.2400,1.4274,6.4681,7.68
1f9g,16.2937,16.8220,-84.1100,0.0000,0.5283,1.28
2ff1,55.3445,56.8800,-284.4000,1.3599,0.1755,8.21
1rbo,38.1456,42.9540,-214.7700,2.0783,2.7300,12.72
1b11,27.0691,30.9240,-154.6200,0.1539,3.7011,7.39
1c4v,40.4046,53.7900,-268.9500,7.7739,5.6115,10.8
1gzc,21.8129,22.9080,-114.5400,0.3145,0.7806,3.49
2c4v,25.3377,31.6520,-158.2600,5.1320,1.1824,2.6
1sc8,39.3938,47.7680,-238.8400,6.0928,2.2814,7.44
1ow4,31.5684,37.6200,-188.1000,0.8906,5.1610,5.68
1gz3,39.9696,43.4780,-217.3900,0.1819,3.3265,3.7
1cim,32.9270,37.7460,-188.7300,3.6644,1.1546,8.82
1gt1,28.6563,30.4700,-152.3500,1.8137,0.0000,6
1z3v,38.9494,39.9240,-199.6200,0.0310,0.9436,4.11
1x9d,40.8467,43.1840,-215.9200,1.1445,1.1928,3.96
1gi9,25.7557,29.1960,-145.9800,1.1685,2.2718,5.22
1db1,46.3996,47.6480,-238.2400,0.0516,1.1968,9.26
1lox,29.6644,33.4680,-167.3400,2.6752,1.1284,5.52
1njj,7.5830,17.9720,-89.8600,5.9056,4.4834,2.1
1me7,38.9504,41.1820,-205.9100,1.4510,0.7806,7.19
1a0q,42.8424,44.8100,-224.0500,0.0815,1.8861,7.57
1cil,36.6511,38.5980,-192.9900,0.6718,1.2751,9.43
1tvo,30.6337,32.2300,-161.1500,0.0688,1.5275,6.85
1mj7,46.3661,51.1460,-255.7300,1.1775,3.6024,8.35
1jmi,41.1437,42.8480,-214.2400,0.0275,1.6768,6.06
1cin,36.3419,38.8760,-194.3800,1.2989,1.2352,8.73
1sle,38.5905,42.3260,-211.6300,1.1478,2.5877,6.17
1w2g,39.1420,41.2220,-206.1100,1.7688,0.3112,4.57
1pu7,41.6583,41.6960,-208.4800,0.0377,0.0000,3.1
1xbb,21.5668,29.5960,-147.9800,3.2822,4.7470,5.3
1ce5,25.0331,25.5980,-127.9900,0.2386,0.3263,4.74
1gj4,28.9875,39.0680,-195.3400,5.8832,4.1972,4.07
1a1c,33.3564,39.8440,-199.2200,2.4786,4.0090,6.4
11gs,43.6492,53.8080,-269.0400,4.4424,5.7164,5.82
1wvc,41.6579,62.1520,-310.7600,16.0266,4.4675,4.46
1vj9,49.6170,55.4160,-277.0800,2.5663,3.2327,7.55
1w0y,45.1233,48.1980,-240.9900,0.2202,2.8546,6.42
1rdt,41.0586,43.2340,-216.1700,1.5644,0.6110,6.7
1rzx,34.9936,40.7220,-203.6100,0.3086,5.4198,4.1
1meu,45.3460,49.3400,-246.7000,1.3623,2.6317,6.1
1z1r,46.0143,52.2700,-261.3500,1.2668,4.9889,9.22
1hp0,60.6397,64.5600,-322.8000,2.5379,1.3824,6.7
1qi0,33.0622,34.3180,-171.5900,0.3906,0.8652,2.35
1sqn,29.8896,30.0020,-150.0100,0.1124,0.0000,9.4
2ada,48.0473,54.0260,-270.1300,5.2436,0.7351,13
1aj6,22.5042,27.8840,-139.4200,1.2287,4.1512,5.92
1o2k,30.3443,37.1820,-185.9100,4.1072,2.7305,6.92
1zky,27.7547,29.5420,-147.7100,0.0901,1.6972,6.25
2cji,35.3236,42.7100,-213.5500,4.6699,2.7165,8.22
2gh7,41.4759,42.0600,-210.3000,0.1103,0.4738,13
1udt,44.5494,49.7960,-248.9800,1.3059,3.9407,9.3
1q66,35.4498,41.9560,-209.7800,5.4195,1.0868,5.77
1y3g,31.6543,38.2540,-191.2700,1.1393,5.4605,7.4
1lf9,63.5496,68.6140,-343.0700,0.4787,4.5857,12
2fgi,28.1394,36.9820,-184.9100,3.2381,5.6045,7.34
1ux7,23.9962,25.5600,-127.8000,0.0000,1.5638,3
1h1p,27.0551,27.8080,-139.0400,0.0015,0.7514,4.92
1vjd,37.7642,48.8820,-244.4100,8.0046,3.1132,3.54
1rdl,18.0327,19.4720,-97.3600,1.3742,0.0651,2.24
1jwt,25.4355,39.9580,-199.7900,5.4424,9.0801,7.85
1uxa,13.3647,16.2700,-81.3500,0.1678,2.7375,2.3
1vot,34.2314,34.8900,-174.4500,0.6586,0.0000,6.6
1rdj,14.0064,17.4780,-87.3900,3.4716,0.0000,1.66
1qy5,23.9878,24.5800,-122.9000,0.0015,0.5908,6.7
1qiw,37.1815,43.7200,-218.6000,2.0671,4.4714,7.74
1lor,43.3510,46.4100,-232.0500,0.7293,2.3297,11.06
1kll,22.2171,23.0060,-115.0300,0.0000,0.7889,5.2
3pcc,22.1549,25.1900,-125.9500,3.0331,0.0020,3.62
1rek,54.4306,58.9840,-294.9200,1.4025,3.1509,6.7
2h6q,39.4474,45.9840,-229.9200,0.0515,6.4851,5.11
1h1h,15.7095,17.8120,-89.0600,0.4904,1.6121,5.22
1wei,11.7563,14.4740,-72.3700,2.7177,0.0000,9
1vkj,57.5135,61.7020,-308.5100,2.4541,1.7344,4.85
1apb,26.9928,27.1200,-135.6000,0.1272,0.0000,5.82
1hn2,28.9545,30.5480,-152.7400,1.5935,0.0000,6
1vwn,45.0813,57.9620,-289.8100,5.9128,6.9679,5.82
1m6p,37.2254,38.6000,-193.0000,1.0920,0.2826,5.1
1ody,59.1412,68.8980,-344.4900,4.2694,5.4874,8.1
1w8m,15.0400,18.1680,-90.8400,1.5599,1.5681,1.6
1p28,7.9251,7.9500,-39.7500,0.0000,0.0249,5.42
1eix,42.9795,46.4800,-232.4000,1.9471,1.5534,11.06
1qsc,40.9392,51.4980,-257.4900,1.6332,8.9257,3.68
1qca,31.2628,41.5880,-207.9400,3.4361,6.8892,5.27
1y2f,24.7245,28.4740,-142.3700,2.0150,1.7344,4.92
1ent,38.5284,52.1740,-260.8700,6.0876,7.5580,6.96
1cea,22.7889,26.6640,-133.3200,2.8014,1.0737,4.96
2bmz,16.4300,18.0660,-90.3300,0.8631,0.7729,3.7
6abp,26.3283,26.3900,-131.9500,0.0617,0.0000,6.36
2bjm,38.2780,43.4420,-217.2100,5.1640,0.0000,3.7
2hh5,43.2855,51.7240,-258.6200,4.1300,4.3085,7.49
6fiv,26.4561,30.5640,-152.8200,0.4960,3.6119,8.08
4fiv,68.6170,77.4340,-387.1700,3.6529,5.1641,6.52
1umw,36.9541,50.4360,-252.1800,1.5514,11.9305,6.55
1bap,25.6828,25.9480,-129.7400,0.2652,0.0000,6.85
1y2g,24.7461,28.5040,-142.5200,0.0202,3.7376,4.08
1gah,62.1210,66.8600,-334.3000,0.0383,4.7007,12
2c3j,26.0413,26.3420,-131.7100,0.3007,0.0000,6.18
1rdn,17.9832,20.3320,-101.6600,2.3204,0.0285,1.84
1o2s,32.6094,34.7980,-173.9900,0.3563,1.8323,5.47
5fiv,27.1914,29.2040,-146.0200,0.1802,1.8324,7.66
1o3h,33.9399,35.7200,-178.6000,0.0998,1.6803,7.3
1abf,27.7809,27.8180,-139.0900,0.0371,0.0000,5.42
7hvp,53.6785,69.3100,-346.5500,4.5072,11.1244,9.62
2avv,44.9790,51.1500,-255.7500,2.5143,3.6567,9.26
1ta2,42.8907,48.0840,-240.4200,1.5480,3.6453,8.52
2toh,10.7020,18.2740,-91.3700,5.2142,2.3577,4.15
1vjj,31.9710,35.3180,-176.5900,0.7229,2.6240,5.77
1owh,40.0186,42.3720,-211.8600,0.0111,2.3423,7.4
2j7h,40.5167,40.6520,-203.2600,0.1219,0.0134,7.19
1syi,41.7959,45.7720,-228.8600,3.5872,0.3889,5.44
1bzc,47.0935,57.2360,-286.1800,7.6096,2.5330,4.92
1q8u,24.8176,28.9860,-144.9300,0.6425,3.5259,5.96
1p1n,27.4930,29.4640,-147.3200,0.9740,0.9969,6.8
1oyt,54.7402,56.9420,-284.7100,0.9381,1.2637,7.24
1uto,9.8040,11.3300,-56.6500,1.5084,0.0177,2.27
5tmn,43.6252,49.4560,-247.2800,2.7341,3.0967,8.04
1r5y,37.1254,39.6240,-198.1200,2.4986,0.0000,6.46
1z9g,23.7972,32.1580,-160.7900,6.9306,1.4303,5.64
1ydr,25.5936,30.7840,-153.9200,1.9110,3.2794,5.52
2cbv,38.9637,41.4940,-207.4700,2.5303,0.0000,5.48
2hb1,20.9644,27.5460,-137.7300,4.8534,1.7283,3.8
1z6e,53.2088,65.0120,-325.0600,3.3972,8.4061,9.72
1k1i,43.4376,48.8180,-244.0900,0.4568,4.9236,6.58
1w4o,30.5054,33.5160,-167.5800,1.2980,1.7126,5.22
1s38,34.5348,36.7720,-183.8600,2.2372,0.0000,5.15
2fvd,35.2684,39.2340,-196.1700,1.2342,2.7314,8.52
1pxn,34.2593,35.9780,-179.8900,0.3326,1.3861,7.15
1nc3,35.0103,51.7020,-258.5100,16.4522,0.2395,5
1h22,62.0534,64.3400,-321.7000,0.4352,1.8514,9.1
1z95,40.8884,47.7760,-238.8800,0.1491,6.7385,4.3
1lpg,63.1215,68.6600,-343.3000,1.4615,4.0771,7.09
1gpn,33.0782,35.6160,-178.0800,2.5378,0.0000,6.48
1qf1,45.8393,52.0280,-260.1400,3.3923,2.7964,7.32
1ps3,46.0687,48.8520,-244.2600,2.7672,0.0161,2.28
2br1,21.9648,30.2140,-151.0700,1.9753,6.2739,5.14
1y6r,36.7675,47.0640,-235.3200,8.8663,1.4302,10.11
1c5z,30.6494,30.9420,-154.7100,0.2566,0.0360,4.01
1yc1,29.3633,31.8540,-159.2700,0.0202,2.4704,6.17
1uv6,23.9385,26.6420,-133.2100,2.2280,0.4755,5.12
1yvm,31.9424,34.8600,-174.3000,2.8521,0.0655,6.4
1fzm,76.5214,85.3500,-426.7500,1.5933,7.2353,7.7
1tni,8.6613,13.0620,-65.3100,3.4910,0.9098,4
1hvl,58.2662,64.5720,-322.8600,3.0207,3.2851,9.95
1jev,70.6369,77.5300,-387.6500,3.6979,3.1951,6.89
1bcd,22.1676,22.3740,-111.8700,0.1334,0.0730,8.7
2pcp,34.9496,40.1680,-200.8400,3.9511,1.2673,8.7
1iy7,37.3709,40.5340,-202.6700,1.0819,2.0812,6.19
1l83,13.3480,13.3480,-66.7400,0.0000,0.0000,3.4
2sim,35.6518,39.3580,-196.7900,1.7339,1.9723,3.42
1n51,48.7542,61.7560,-308.7800,7.1630,5.8388,4.85
2am4,60.1633,65.1980,-325.9900,0.9578,4.0769,3.72
1pfu,13.6809,13.8500,-69.2500,0.0000,0.1691,2.72
1ecv,33.3057,39.1540,-195.7700,3.7542,2.0941,4.85
3pck,30.8298,34.8180,-174.0900,3.9874,0.0008,6.7
1lzq,32.1923,55.0580,-275.2900,11.2303,11.6354,8.39
1t4v,43.2699,48.5840,-242.9200,0.3946,4.9195,7.68
1fiv,64.8884,75.9380,-379.6900,5.6557,5.3938,6.59
2ez7,5.8399,11.7520,-58.7600,3.9524,1.9597,4.36
2gyi,34.2175,41.6120,-208.0600,5.7384,1.6561,7
1tuf,22.7151,25.5980,-127.9900,1.9162,0.9666,4.05
1y1z,23.9899,24.7620,-123.8100,0.5898,0.1823,3.08
2gvj,43.5824,45.8920,-229.4600,0.4910,1.8185,9.52
1j01,38.2131,46.0440,-230.2200,7.5356,0.2953,6.47
1qb6,38.1754,42.0700,-210.3500,0.0785,3.8161,6.06
1dud,34.6402,35.6720,-178.3600,0.1815,0.8503,4.82
1ws1,35.2845,47.2660,-236.3300,8.6914,3.2901,9.55
1yc4,26.6789,30.2140,-151.0700,1.8757,1.6594,6.55
1sb1,30.8424,40.6640,-203.3200,6.1951,3.6265,6.89
1ydb,32.1758,35.4360,-177.1800,0.6514,2.6088,8.24
1bai,44.8897,59.8180,-299.0900,6.7893,8.1390,7.7
2boj,24.4711,27.1340,-135.6700,2.6308,0.0321,5.77
1b46,54.3625,60.1140,-300.5700,1.6343,4.1172,5.28
1mtr,49.4848,55.7860,-278.9300,1.7626,4.5386,8.4
2olb,61.0678,68.1060,-340.5300,2.3917,4.6465,5.54
1z6s,32.8716,36.6540,-183.2700,1.9580,1.8243,4.34
1bxq,47.9863,57.7920,-288.9600,3.2808,6.5249,7.38
2bza,14.9975,14.9980,-74.9900,0.0000,0.0005,2.8
1uz1,34.7821,39.4240,-197.1200,4.6186,0.0233,6.89
1fzo,68.6268,87.6980,-438.4900,3.0916,15.9796,7.89
2jxr,42.8947,55.6980,-278.4900,7.5007,5.3025,7.05
1uwu,41.4194,46.8800,-234.4000,5.3869,0.0737,5.98
2cf8,50.4326,52.5200,-262.6000,0.8825,1.2049,8.1
1hvj,56.0375,62.8300,-314.1500,2.7170,4.0754,11.4
1msm,46.8659,55.3520,-276.7600,4.8566,3.6295,10.48
1elc,17.9029,38.5640,-192.8200,17.5815,3.0796,6.66
1l6m,16.2372,19.3580,-96.7900,3.1057,0.0151,8.1
1alw,15.7650,16.5080,-82.5400,0.0089,0.7341,6.52
1met,47.6141,52.1880,-260.9400,2.9172,1.6567,9.4
1m4h,68.0507,77.0560,-385.2800,0.9474,8.0579,9.52
1b8n,39.3881,41.6180,-208.0900,0.6551,1.5748,10.52
1pot,40.6214,42.5040,-212.5200,1.4304,0.4522,5.49
2i3h,36.9996,42.1780,-210.8900,1.4069,3.7716,7.4
1i9n,29.9492,33.1760,-165.8800,1.5317,1.6951,8.66
1kmy,33.8254,39.3120,-196.5600,4.0043,1.4823,5.1
1usn,40.7031,45.4100,-227.0500,2.2946,2.4123,7.74
1r4w,27.6224,35.1160,-175.5800,5.9234,1.5702,4.05
2h6b,23.4521,24.4260,-122.1300,0.8003,0.1736,5.39
1n3i,37.5283,39.2160,-196.0800,1.3185,0.3692,8.89
1bn3,33.0726,38.1060,-190.5300,2.7669,2.2665,9.89
1b4z,58.4337,63.0900,-315.4500,0.9903,3.6660,5.23
1rp7,66.0300,73.6640,-368.3200,3.9738,3.6602,8.52
1q91,50.7236,55.3880,-276.9400,1.6861,2.9782,4.15
2c3l,21.4873,27.4520,-137.2600,5.3374,0.6274,5.07
1li6,8.8875,9.9360,-49.6800,1.0485,0.0000,3.8
1mjj,45.8856,51.1520,-255.7600,0.9537,4.3126,8.74
1w4q,30.9457,34.3720,-171.8600,1.0256,2.4007,5.26
1a99,24.4111,25.4620,-127.3100,0.8953,0.1556,5.7
2fqt,25.0586,34.0480,-170.2400,7.8811,1.1082,6.14
2aog,65.0646,70.0340,-350.1700,0.4786,4.4907,6.28
1pa9,18.5124,30.1940,-150.9700,10.5558,1.1257,4.6
1gj7,33.4499,41.5020,-207.5100,2.8603,5.1918,7.89
1g7g,38.6954,55.4140,-277.0700,10.3016,6.4170,6.6
1sh9,41.5686,48.1540,-240.7700,3.5485,3.0370,6.03
1hnn,32.0385,34.5000,-172.5000,1.3260,1.1355,6.24
1gyx,23.2879,23.4160,-117.0800,0.0000,0.1281,2.48
2j47,42.2573,49.1220,-245.6100,2.5188,4.3459,5.41
1w5y,66.2150,72.0740,-360.3700,2.6551,3.2038,8.48
1z1h,36.2107,43.8820,-219.4100,3.3423,4.3290,8.4
1mue,37.5338,46.3200,-231.6000,1.0547,7.7315,8.64
2i80,24.8981,32.4880,-162.4400,2.4613,5.1286,5.4
1m48,36.2689,38.1780,-190.8900,0.4692,1.4398,5.09
1koj,30.6476,33.2300,-166.1500,2.5351,0.0473,6.7
1c1r,38.2227,41.8060,-209.0300,2.9860,0.5972,7.63
1g4o,28.2166,31.3460,-156.7300,1.4675,1.6619,8.25
1ajx,48.4488,50.0420,-250.2100,0.3058,1.2874,7.91
1ucn,50.2359,56.4600,-282.3000,3.0354,3.1887,5.22
1xk9,22.2468,29.9160,-149.5800,6.2127,1.4565,6.85
1b6j,56.6492,61.2500,-306.2500,1.1455,3.4553,7.92
3jdw,12.6965,16.4820,-82.4100,3.2136,0.5719,3.6
1jeu,59.4032,62.3700,-311.8500,0.0324,2.9344,6.82
2bo4,8.7155,15.7060,-78.5300,2.1446,4.8459,4.61
1gar,58.0762,66.4760,-332.3800,3.3095,5.0903,10
1g53,34.5448,37.4400,-187.2000,1.3985,1.4967,9.04
1oz0,66.2300,77.5280,-387.6400,5.6205,5.6775,7.7
3pcn,21.1014,29.2300,-146.1500,7.7041,0.4244,3.66
1uwf,26.7785,27.1160,-135.5800,0.2950,0.0425,6.82
1b5i,57.4296,62.6900,-313.4500,1.3966,3.8638,7.05
1qkb,58.4222,62.9840,-314.9200,0.9213,3.6405,7.35
3kiv,19.3938,21.5560,-107.7800,1.5378,0.6244,4.7
1b2h,57.9242,63.1560,-315.7800,1.3722,3.8595,4.54
1qbv,36.7585,42.7840,-213.9200,3.6975,2.3280,5.39
1ork,37.9874,47.1860,-235.9300,3.3925,5.8061,8.81
2il2,60.8678,67.0240,-335.1200,2.1399,4.0163,7.1
1utl,9.4965,10.9680,-54.8400,1.0782,0.3933,2.47
