name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
1n2v,-1.3693,0,0,0,-1.3693,4.08
2qmj,-8.67207,7.68304,-0.899457,0,-2.70181,4.21
1qi0,-5.96423,8.03574,0,0,-0.660644,2.35
1lor,-4.99559,4.89263,-0.178062,0,-1.58839,11.06
2jdy,-5.70603,8.0691,0,0,-0.380423,4.37
1h23,-10.9951,2.52737,-0.101372,0,-9.22569,8.35
1bcu,-1.97105,0,-0.249134,0,-1.72192,3.28
3myg,-4.16004,0.867826,0.256047,0,-3.84332,10.7
3coy,-6.80785,4.24643,0.33044,0,-4.33564,6.02
3g2z,-1.99693,2.33666,-0.114691,0,-0.340046,2.36
2yge,-4.92567,1.36027,0,0,-4.0279,5.06
2cet,-11.2673,8.52145,-0.641389,0,-5.00176,8.02
2ymd,-6.49528,3.40884,-0.0369909,0,-4.20846,3.16
3f3a,-4.00654,1.45405,0.271807,0,-3.31868,4.19
2xys,-8.34018,0,-0.00592399,0,-8.33425,7.42
3nw9,-11.8684,7.47135,0,0,-6.93728,9
2iwx,-4.18175,0.995266,0.18622,0,-3.7111,6.68
1vso,-4.55408,2.33322,-0.373444,0,-2.64071,4.72
4de2,-3.74646,2.3767,-0.47858,0,-1.69925,4.12
4tmn,-9.63044,4.22173,-0.189214,1.47658,-5.1783,10.17
1mq6,-6.97402,0.882501,0,0,-6.39157,11.15
3gy4,-2.78334,1.29315,-0.643141,0,-1.28672,5.1
3b68,-10.7615,1.68001,-0.032364,0,-9.62036,8.4
3fcq,-5.63144,3.26461,0.29064,1.33307,-2.43437,2.77
4gid,-9.06082,0.87766,-0.646069,0,-7.83549,10.77
3ebp,-5.86672,0,-0.127017,0,-5.7397,5.91
3u9q,-5.66686,2.16564,-0.207327,0,-4.03021,4.38
3e93,-10.3113,0.563891,-0.0401344,0,-9.89895,8.85
3k5v,-6.15571,0,0,0,-6.15571,6.3
2wbg,-10.4791,7.56226,-1.12516,0,-4.36287,4.45
1z95,-9.27701,1.59386,0.150471,0,-8.37553,7.12
2fvd,-4.6496,0,-0.0863288,0,-4.56327,8.52
3pxf,-5.71383,0,-0.479303,0,-5.23453,4.43
3cyx,-10.389,3.21663,-0.560545,0,-7.70547,8
3gnw,-6.89664,1.6397,0,0,-5.81444,9.1
3f3c,-4.15575,1.84246,0.117005,0,-3.05673,6.02
1oyt,-6.77732,0.527859,-0.707801,0,-5.72113,7.24
3n86,-7.18494,5.73667,-0.222133,0,-3.1766,5.64
3uex,-9.22264,0.32986,-0.106414,0,-8.89852,6.92
2brb,-4.39848,0.402937,0,0,-4.13254,4.86
3kgp,-2.28022,0.813047,-0.460706,0,-1.2829,2.57
3ivg,-7.26443,3.09309,0.0678318,0,-5.29083,4.3
3dxg,-2.42218,1.36883,-0.0543196,0,-1.46443,2.4
2y5h,-5.42626,0,0,0,-5.42626,5.79
3g0w,-9.1857,0.853556,0,0,-8.62235,9.52
1yc1,-4.97967,2.16714,-0.357122,0,-3.19224,6.17
3ozt,-10.4118,5.78586,-0.587043,0,-6.00612,4.13
1w4o,-4.14402,1.91291,-1.40821,0,-1.47328,5.22
3uri,-8.08965,1.29464,-1.1712,0,-6.06399,9
3fv1,-8.42519,8.87081,-0.785693,0,-1.78476,9.3
2wca,-4.75319,2.51141,0,0,-3.09565,5.6
1nvq,-7.68294,0.979513,-0.422459,0,-6.614,8.25
2w66,-4.85694,4.38836,-0.538527,0,-1.42209,4.05
2xnb,-5.73038,0,-0.204226,0,-5.52616,6.83
3ueu,-6.14948,0,-0.120761,0,-6.02872,5.24
1q8t,-3.28484,0,-0.202741,0,-3.0821,4.76
2weg,-3.55334,1.86565,0.157314,0.628533,-1.85079,6.5
3jvs,-4.93872,0,0.0805198,0,-5.01924,6.54
3f3e,-3.62382,2.40536,0.141347,0,-2.17763,7.7
2j78,-7.25833,9.64151,-0.172352,0,-0.722581,6.42
2zcr,-9.13964,2.50737,0.603829,0,-8.0886,6.87
2xbv,-6.96616,0.165256,0,0,-6.85709,8.43
4de1,-4.06081,3.53861,-0.234122,0,-1.4912,5.96
1sqa,-4.17797,0.907553,-0.959443,0,-2.61954,9.21
3mss,-4.82652,0,0,0,-4.82652,4.66
3ejr,-8.4987,7.69413,-0.687877,0,-2.73269,8.57
3ge7,-5.00511,0,-1.81549,0,-3.18962,8.7
3zsx,-5.822,2.42124,0.0497521,0,-4.27373,3.28
1u1b,-6.50946,2.60122,-1.21443,0,-3.57822,7.8
3utu,-7.37202,0.681733,-0.693225,0,-6.22885,10.92
1uto,-1.90153,0.480517,-0.444735,0,-1.13965,2.27
1a30,-5.71916,5.17162,0.251312,0,-2.5572,4.3
3kwa,-2.78501,1.11861,-0.0915238,0,-1.95521,4.08
4djv,-7.77227,0.217509,-1.05513,0,-6.57358,6.72
2xb8,-7.6688,6.6461,-0.249648,0,-3.03273,7.59
3dd0,-4.19771,1.84744,0.162352,0.762448,-2.3783,9
2v7a,-6.06844,1.89945,-0.143115,0,-4.67169,8.3
3n7a,-5.0075,5.80084,-0.24371,0,-0.935232,3.7
2v00,-4.45326,0.147316,-1.23851,0,-3.11752,3.66
2vw5,-6.1196,2.13167,0,0,-4.7127,8.52
3lka,-2.12714,0.336527,-0.0688297,0,-1.8362,2.82
3zso,-6.43853,1.88633,0.0566436,0,-5.2502,5.12
3pww,-9.28163,2.20973,-0.634675,0,-7.18854,7.32
3l7b,-5.07975,4.40815,0,0,-2.17037,2.4
2yki,-11.3071,2.21817,0,0,-9.84309,9.46
2zcq,-8.27087,4.35431,0.519147,0,-5.91617,8.82
3ehy,-4.97215,2.8502,0.235427,0.95907,-2.36738,5.85
1ps3,-7.72168,9.0346,0,0,-1.75885,2.28
2qbp,-5.75018,0.486197,-0.357747,0,-5.07155,8.4
3udh,-4.16235,0,-0.903794,0,-3.25856,2.85
3g2n,-6.17274,6.51184,0,0,-1.87493,4.09
2p4y,-11.0299,0.261511,-0.123882,0,-10.7334,9
2x00,-10.2203,0,-0.00972108,0,-10.2106,11.33
3gbb,-4.15121,2.69891,-0.301305,0,-2.06863,6.9
1gpk,-5.7762,1.53657,-0.0453461,0,-4.71672,5.37
3oe5,-10.4189,7.19926,0.00276203,0,-5.6701,6.88
1r5y,-2.97668,0.562713,-1.42114,0,-1.18415,6.46
1e66,-8.37919,0,-0.254257,0,-8.12493,9.89
3d4z,-7.23357,7.96755,-0.468006,0,-1.50698,4.89
2hb1,-4.28523,2.85475,-0.0507374,0,-2.35036,3.8
3uo4,-4.97231,0,-0.473686,0,-4.49863,6.52
2wtv,-6.53657,0,-0.0855331,0,-6.45103,8.74
2xdl,-3.43481,1.0379,0,0,-2.74979,3.1
1p1q,-3.60094,2.10638,-0.449353,0,-1.76137,4.89
3ag9,-5.51084,0.845908,-1.5683,0,-3.38424,8.05
1o5b,-2.3626,0,-0.630962,0,-1.73164,5.77
2yfe,-6.3694,0,0.0402142,0,-6.40961,6.63
1q8u,-4.98139,0,-0.268446,0,-4.71294,5.96
3ao4,-3.62494,0.889379,0,0,-3.03795,2.07
2vvn,-5.47128,3.63497,-0.617025,0,-2.45517,7.3
3acw,-7.66261,0,-0.0781665,0,-7.58444,4.76
2qbr,-5.25664,0.455058,-0.312877,0,-4.64342,6.33
1o3f,-4.05634,1.40702,-0.787884,0,-2.33982,7.96
1xd0,-13.0716,13.4369,-0.927085,0,-3.27617,7.12
3cft,-1.52858,0,-0.163187,0,-1.36539,4.19
1sln,-7.50607,2.72852,0.00593297,0.432817,-5.27836,6.64
3cj2,-4.51318,0,0,0,-4.51318,4.85
3bkk,-9.51742,4.80104,-0.503426,0,-5.8453,6.08
2r23,-5.19395,6.26932,-0.631411,0,-0.42479,3.72
1f8d,-2.45058,2.35581,-0.21099,0,-0.684747,3.4
4des,-2.47128,0,-0.423074,0,-2.04821,5.85
3su3,-5.38708,1.08981,-0.0715575,0,-4.59625,9.13
3imc,-2.34416,0.203919,0,0,-2.20958,2.96
3nox,-6.05033,0.756319,-0.837864,0,-4.7133,8.66
1hfs,-15.9101,3.76862,0.341159,1.03228,-12.7317,8.7
4gqq,-3.45068,2.19834,0,0,-1.99978,2.89
1zea,-1.09519,0,0.000564545,0,-1.09576,5.22
3vd4,-5.10435,4.24503,0,0,-2.30263,4.82
1igj,-7.71458,0,0,0,-7.71458,10
2ole,-4.95022,0,-0.547059,0,-4.40316,7.25
2jdu,-6.00583,8.34719,0,0,-0.496682,6.72
3gcs,-8.82202,0.692523,0,0,-8.36495,7.25
3l4u,-6.92446,5.17858,-1.45816,0,-2.04843,7.52
1f8b,-2.40434,2.84137,0.0940992,0,-0.623141,5.4
2jdm,-5.29374,7.12346,0,0,-0.592263,5.4
1f8c,-2.51419,1.90633,-0.583294,0,-0.672716,7.4
1loq,-3.5342,2.6956,-0.180016,0,-1.57509,3.7
2zwz,-7.20521,6.32182,-1.38206,0,-1.65076,7.79
2obf,-7.3326,0.227508,-0.81814,0,-6.36431,8.85
1lbk,-2.69177,0.829339,-0.583404,0,-1.56101,3.18
2zjw,-4.2575,0.874256,0.456168,0,-4.13666,7.7
2j62,-9.48571,3.97862,-0.419109,0,-6.44071,11.34
2d1o,-9.83852,2.95357,-0.78294,1.77787,-5.32835,7.7
2pcp,-6.43243,0,-0.0567791,0,-6.37565,8.7
3f17,-9.35064,5.30852,0.01131,1.94011,-3.91822,8.63
4dew,-1.04669,1.33301,-0.336318,0,0.16941,7
3vh9,-7.5699,3.61982,0.912309,2.55702,-3.53611,6.24
3bpc,-4.38453,4.75084,-0.428362,0,-0.82061,4.8
1u33,-8.13224,8.97477,-0.177211,0,-2.03168,4.6
2zxd,-6.48382,5.47963,-0.588446,0,-2.27881,5.22
2x8z,-4.464,2.8898,0.409248,0.919038,-2.04695,7.96
2vl4,-6.85295,6.88162,-0.921649,0,-1.38943,6.01
3nq3,-5.17313,0,0,0,-5.17313,3.78
1w3k,-8.5224,11.386,0,0,-1.00764,4.3
3b3s,-2.88848,1.2445,0.10275,0.0410937,-2.12877,2.55
3su2,-6.23584,1.04666,-0.116356,0,-5.42869,7.35
1hnn,-4.00136,0.452326,-0.898489,0,-2.80434,6.24
1os0,-8.15428,3.65714,0.608823,0.748712,-5.60067,6.03
4g8m,-5.54781,5.67033,-0.171274,0,-1.63412,7.89
1lol,-3.4419,3.29253,-0.0679261,0,-1.2009,6.39
3kv2,-5.94078,4.7759,-0.312333,1.73379,-0.742568,7.32
2zx6,-7.04675,5.90988,-0.75229,0,-2.39394,10.6
3mfv,-5.37366,3.82823,-1.03956,0.982255,-0.825215,2.52
3s8o,-4.3444,2.51647,-0.556319,0,-2.12722,6.85
2g70,-6.11748,0.957484,-0.771767,0,-4.71377,7.77
3su5,-5.61004,1.07667,-0.0712765,0,-4.82816,5.58
3huc,-4.65044,0,0,0,-4.65044,5.99
3f80,-7.58082,5.8462,0.158409,2.62029,-1.26044,4.22
2cbj,-6.54437,5.61573,0,0,-2.83799,8.27
1kel,-7.7998,0.778089,-1.3475,0,-5.93876,7.28
2x0y,-5.03932,2.54732,0,0,-3.35808,4.6
3l4w,-6.14793,5.11748,-1.10182,0,-1.66857,6
3l3n,-11.3658,6.52561,-0.493183,1.7501,-4.81563,8.18
1n1m,-4.85407,1.66387,-0.798752,0,-2.95717,5.7
2gss,-3.83499,0,-0.183974,0,-3.65102,4.94
3pe2,-4.65941,0.0693629,0.269398,0,-4.88303,9.76
1w3l,-10.1077,13.0627,0,0,-1.48638,6.28
2xhm,-8.33139,5.18706,0.451713,1.2892,-4.07044,6.8
3muz,-5.08501,4.24916,0,0,-2.28057,3.46
2x97,-8.92166,8.27607,1.07337,1.1085,-3.42432,5.66
3fk1,-1.74733,1.96347,-0.402183,0,-0.0492601,2.62
3ov1,-3.64971,2.25208,-0.53843,0,-1.62491,5.2
3owj,-5.25271,0.549627,0,0,-4.88996,6.07
2xy9,-12.2888,5.98191,0.906117,1.13056,-8.11633,9.19
3i3b,-6.93195,8.36411,0,0,-1.41164,2.23
10gs,-6.72006,0.708262,-0.605929,0,-5.64668,6.4
2vo5,-9.92566,7.45626,-0.919081,0,-4.08545,4.89
1jyq,-6.56805,3.29694,-1.41958,0,-2.97248,8.7
2qft,-1.81621,1.58993,-0.429357,0,-0.337497,5.26
2pq9,-8.11256,6.86917,-2.43899,0,-1.13992,8.11
3bfu,-2.82452,2.75263,-0.376565,0,-0.631222,6.27
4djr,-8.99613,4.00421,-0.205282,0,-6.14806,11.52
3b3w,-8.66777,5.40124,0.6688,3.29582,-2.47592,4.19
2vot,-8.97477,7.0078,-0.587047,0,-3.76257,7.14
2d3u,-6.33842,0,-0.163919,0,-6.1745,6.92
