name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
1a08,-6.5261,-3.3218,-3.3354,-9.9066,4.3701,5.6677,5.62
1u2y,-1.5569,-1.1198,-1.5065,-3.9576,2.9389,2.0881,1.74
1b39,-4.9402,-3.3340,-0.7056,-11.7912,7.6092,3.2813,6.92
2i0d,-9.1019,-0.2973,-1.5329,-15.3562,3.6099,4.4745,12.1
2c02,-5.2221,-3.2271,-2.2935,-7.7242,5.6363,2.3864,4.04
1a1b,-7.3212,-3.5652,-3.8308,-9.7382,4.1454,5.6677,6.4
1n2v,-5.1698,-0.5479,-1.6405,-7.0118,3.1355,0.8949,4.08
1xd1,-8.0368,-3.1534,-5.7568,-19.4587,10.1899,10.1422,7.92
1jq9,-3.3545,-1.5651,-2.8739,-12.1773,6.1027,7.1592,8.45
3pch,-3.4305,-0.5845,-0.9509,-4.7053,2.2136,0.5966,5.4
2bzz,-6.3217,-5.4489,-3.9488,-12.6817,9.4934,6.2643,6.43
1ha2,-6.2729,-0.0258,-0.5047,-9.0861,1.5539,1.7898,5.54
1tyr,-3.4118,0.0675,-0.0001,-6.1028,0.2373,2.3864,7
1re8,-14.9402,-2.3357,-3.5605,-16.3957,4.6671,2.6847,9.52
1l2s,-7.3371,-1.3187,-2.3260,-7.5451,2.6594,1.1932,4.59
2aou,-9.1586,-1.0005,-0.3405,-12.5752,2.6695,2.0881,7.73
1jqd,-4.6542,-0.9768,-2.7415,-10.1828,6.2638,2.9830,5.16
1apw,-8.4631,-0.7102,-3.5790,-12.9362,4.2878,4.4745,8
2b1v,-4.0290,-0.1080,-1.2383,-4.7110,0.8352,1.1932,5.74
1bra,-6.4411,-2.5051,-0.9961,-6.3076,2.4729,0.8949,1.82
2hdq,-5.8005,-2.0933,-1.6501,-3.9028,1.5474,0.2983,1.4
1gni,-6.3136,-1.0078,-0.4714,-9.1447,-0.1641,4.4745,8.07
2aov,-8.0419,-1.3120,-1.2716,-8.8244,2.4713,0.8949,7.04
2flb,-11.6203,-3.6351,-4.2107,-10.7174,5.4514,1.4915,5.74
2f01,-10.1357,-1.0152,-3.6043,-9.9867,2.9790,1.4915,13
7cpa,-8.7956,-0.8175,-4.0988,-14.4042,6.0504,4.4745,13.96
1xgj,-6.6038,-2.0888,-2.0275,-7.6606,3.3833,1.7898,6
2er9,-10.0935,-0.6550,-3.8189,-19.8030,6.4276,7.7558,7.4
2fai,-5.9734,-0.1728,-1.4319,-6.3811,0.8191,1.1932,6.24
1slg,-3.9496,-0.1564,-2.7830,-14.1863,5.4202,7.7558,3.9
1is0,-9.3501,-4.6973,-3.9762,-11.0545,4.7101,5.6677,7
1utp,-3.5942,-1.0246,-0.9208,-5.1129,1.9726,1.4915,1.44
1y1m,-8.9482,-2.8752,-3.6664,-5.4989,2.4957,0.5966,1.82
1e5a,-4.5995,-0.1117,-0.5317,-4.5587,0.3043,0.2983,7.64
1h23,-11.5108,-1.5740,-1.2947,-15.8414,2.7248,4.4745,8.35
1bcu,-5.3435,-0.1496,-0.8056,-7.4393,2.7527,0.2983,3.28
2cet,-9.9189,-1.2338,-4.3972,-11.1500,4.4757,2.3864,8.02
4tmn,-8.6212,0.4816,-4.0934,-14.6767,5.1928,4.4745,10.17
1mq6,-11.0033,-0.1430,-0.9049,-17.1813,4.8396,2.3864,11.15
1o0h,-8.2972,-3.7745,-3.9054,-8.6727,5.6690,2.3864,5.92
1nc1,-8.4109,-0.6134,-2.6881,-12.0200,5.1209,1.7898,6.12
2brb,-6.0290,0.0126,-0.2068,-9.5993,2.5712,1.1932,4.86
1nvq,-12.8253,-2.0606,-2.5346,-13.8068,3.7869,1.7898,8.25
1q8t,-4.7424,-0.5372,-0.6840,-6.9012,2.1868,1.1932,4.76
2j78,-8.2755,-1.4137,-5.0396,-8.0423,4.4303,1.7898,6.42
1sqa,-7.9270,-0.7300,-2.5859,-12.3633,5.3658,2.3864,9.21
1u1b,-8.2095,-2.8768,-3.4618,-13.8201,7.4747,4.4745,7.8
1a30,-2.7282,1.3865,-2.8109,-9.7982,4.6165,3.8779,4.3
1ydt,-7.8089,-0.8150,-0.9292,-11.5070,3.0559,2.3864,7.32
1gpk,-9.1648,-0.9899,-1.2083,-9.5743,2.3095,0.2983,5.37
1e66,-10.6159,-0.1042,-0.4680,-12.3978,1.7575,0.5966,9.89
1p1q,-7.6413,-2.3220,-3.6116,-7.7171,4.5179,1.4915,4.89
1o3f,-5.3475,-0.3719,-0.0088,-10.4735,4.0153,1.4915,7.96
1d09,-12.5122,-5.3369,-6.5846,-9.3856,6.4086,2.3864,7.57
2qwb,-4.6239,-1.9637,-3.2411,-7.1219,4.7198,2.9830,2.74
1g7q,-11.0961,-3.2593,-6.1569,-17.5630,8.7240,7.1592,6.06
1f4f,-4.0831,-0.1139,-0.4147,-9.2655,3.0263,2.6847,4.62
3pce,-3.1469,-0.1082,-0.1072,-5.9032,2.0768,0.8949,2
1zoe,-6.2508,0.2612,-0.0015,-8.1099,1.3011,0.2983,7.4
4tim,-4.1258,-1.5855,-2.6842,-5.9299,3.9857,2.0881,2.16
1tok,-6.8979,-2.6385,-3.0331,-4.1862,2.3634,0.5966,2.47
2fdp,-15.7504,-3.5444,-3.5461,-17.8063,4.6720,4.4745,7.59
3pcj,-2.0708,-0.7687,1.5133,-6.0322,2.6201,0.5966,7.22
1uwt,-6.8215,-1.2688,-3.7598,-7.9706,4.3878,1.7898,5.97
2baj,-12.0257,-0.2050,-1.6782,-13.7455,2.4098,1.1932,8.4
1if7,-5.5650,-0.1333,-1.5345,-7.7315,1.7461,2.0881,10.52
2d3z,-8.3036,-1.1795,-1.0595,-9.0454,1.4893,1.4915,6.64
1nja,-7.5451,-2.6541,-3.4545,-8.5797,5.3534,1.7898,6.31
2ayr,-13.9844,-0.9411,-1.6192,-15.8018,1.6930,2.6847,9.29
2cer,-9.9904,-1.2009,-4.5344,-11.1980,4.5565,2.3864,9.22
2qwd,-7.1015,-3.9888,-3.7355,-6.9487,4.8867,2.6847,4.85
1fh8,-9.9279,-3.4763,-3.7053,-8.4724,3.9362,1.7898,6.89
1ftm,-8.8788,-2.5709,-3.7705,-8.5102,4.4813,1.4915,7.61
2qwe,-8.8763,-3.4877,-5.2377,-9.1270,6.2915,2.6847,7.48
1toj,-6.4975,-1.3854,-2.1726,-5.4252,1.5908,0.8949,3.39
1pr5,-6.2281,-0.8998,-2.7067,-9.3671,4.9558,1.7898,3.92
1f4e,-4.0410,0.0997,-0.6350,-5.7844,1.3838,0.8949,2.96
1y6q,-9.3849,-1.8723,-2.4180,-11.8524,4.9680,1.7898,11.7
1hfs,-14.3036,1.8249,-2.0707,-23.2579,3.8307,5.3694,8.7
2d0k,-8.3498,-3.6057,-2.6035,-10.3441,4.9222,3.2813,5.02
1ela,-6.6778,-0.4841,-1.7864,-11.1746,3.4860,3.2813,6.36
1rnt,-5.1436,-0.2528,-3.4512,-9.2321,5.7045,2.0881,5.19
1ndy,-8.2858,-0.7051,-2.2374,-9.7948,2.3633,2.0881,6.17
1j17,-10.9044,-0.0677,-0.0525,-14.7894,2.8119,1.1932,5.22
1ols,-9.7041,-0.9511,-4.1907,-13.6537,6.4066,2.6847,5.82
3std,-10.6406,0.0064,-0.8448,-12.8201,1.2280,1.7898,11.11
1avn,-0.2220,-0.0664,-0.5341,-1.8837,1.3672,0.8949,3.9
5er1,-8.1664,-4.0323,-2.0308,-11.4188,3.6478,5.6677,6.02
2drc,-9.5623,-3.6116,-3.8355,-11.3247,5.6299,3.5796,9.89
1pb9,-7.8486,-1.9726,-3.4797,-5.5604,2.8657,0.2983,3.62
1d7j,-2.5065,-0.1123,-0.6004,-3.2062,0.5176,0.8949,3.3
1pxo,-5.4902,0.3795,-1.1125,-9.7377,3.4891,1.4915,8.7
2g8r,-2.0329,-0.5118,0.1450,-6.5496,3.0937,1.7898,3.99
1ndw,-6.3157,-0.6803,-2.2838,-8.2112,2.7715,2.0881,5.23
1fh7,-8.8311,-2.6928,-3.6402,-9.2982,4.7120,2.0881,5.24
1jys,-2.8655,-0.0645,-0.7392,-5.3454,2.9853,0.2983,3.52
1om1,-9.2603,-1.1023,-0.8047,-9.9334,1.9836,0.5966,6.77
1nfy,-9.9355,-0.1906,-0.6064,-14.5045,3.5761,1.7898,8.89
1fkb,-11.3929,-0.3243,-2.4628,-13.2709,1.9804,2.6847,9.7
1loq,-7.7636,-1.6817,-4.6792,-8.5537,4.7646,2.3864,3.7
4tln,-4.1274,-1.3064,-1.9057,-4.5799,2.1732,1.4915,3.72
1trd,-5.0097,-0.8417,-3.6866,-5.5445,3.2734,1.7898,5.4
2d1o,-9.1735,-1.6853,-3.5795,-13.3098,3.4351,5.9660,7.7
1k9s,-5.1730,-0.6182,-2.6704,-9.7185,6.0443,1.7898,6.52
1ndz,-10.5713,-0.8571,-2.2200,-14.6593,3.8837,3.2813,8.11
2cgr,-10.6149,-1.5977,-1.7966,-12.8378,3.8273,1.7898,7.28
1toi,-6.3072,-1.3501,-2.1720,-5.1930,1.5129,0.8949,4.05
2brm,-5.6952,-0.0256,-0.5307,-9.1568,2.8248,1.1932,5.89
2fzc,-2.2326,-1.5048,-1.8902,-6.5897,4.7692,2.9830,2.7
6rnt,-2.9823,0.4118,-2.3810,-7.1999,4.3971,1.7898,2.37
1fd0,-14.3922,-1.2307,-0.7500,-14.9856,1.3809,1.1932,8.4
1dhi,-7.2512,-2.4281,-2.6003,-10.8001,5.2960,3.2813,7.26
1hi4,-9.2516,-4.5626,-3.8026,-8.4202,5.4458,2.0881,4.49
1nje,-9.4070,-3.2027,-4.6099,-8.7919,5.4078,1.7898,3.8
1b8o,-7.7465,-0.6812,-3.4944,-10.0547,4.9923,1.4915,10.64
1jaq,-4.6710,-0.3486,-1.7655,-8.7272,3.4856,2.6847,4.48
2h3e,-15.0774,-6.8040,-6.9098,-9.8485,6.6952,1.7898,5.7
1pz5,-3.3413,-0.4972,-2.0025,-16.0577,6.2671,8.9490,5.4
1ajq,-6.3640,-1.1051,-1.6812,-5.5861,1.4117,0.5966,4.31
1fcx,-14.3165,-1.1037,-1.0095,-14.6179,1.2214,1.1932,7.19
1u33,-7.3191,-1.5491,-4.3503,-13.7871,6.9980,5.3694,4.6
1tmn,-6.2304,1.0769,-3.7712,-11.5110,4.0970,3.8779,7.3
1pbq,-8.9512,-1.5848,-1.9569,-8.1443,2.4364,0.2983,6.27
1nhu,-6.1512,-1.0738,-1.0230,-8.0254,1.5846,2.3864,5.66
1df8,-8.8414,-0.9298,-2.5648,-9.6595,2.8212,1.4915,9.7
1syh,-13.4353,-3.3620,-5.5746,-10.2912,4.5992,1.1932,6.31
1bxo,-11.2222,0.5285,-3.7650,-16.2012,4.9343,3.2813,10
2f80,-9.7438,-0.3979,-2.0104,-15.4536,3.9418,4.1762,8.18
2bak,-11.1159,-0.2777,-1.6061,-16.3877,4.1725,2.9830,7.43
1olu,-8.2195,-0.2414,-3.9219,-12.2499,5.5091,2.6847,4.41
1fzj,-13.6086,-3.3222,-6.7632,-21.5841,8.5153,9.5456,8.1
1x1z,-12.0747,-2.5473,-6.8044,-10.5809,6.0680,1.7898,11.06
1flr,-11.2901,-1.0111,-1.6028,-12.9324,3.3612,0.8949,10
2g94,-12.5622,-0.5047,-3.8487,-19.3532,5.1784,5.9660,9.52
1bma,-8.2528,-0.1608,-1.5235,-13.4959,3.3479,3.5796,4.59
1lol,-7.1068,-1.3869,-4.7208,-8.1370,4.7514,2.3864,6.39
1g7f,-10.1266,-3.9572,-4.3919,-11.8195,5.2693,4.7728,5.47
1ajp,-4.1027,-0.7509,-0.6986,-6.1491,2.3027,1.1932,2.23
1q7a,-4.7979,-0.0287,-0.0170,-7.5781,1.0361,1.7898,7.19
1m0n,-9.9477,-1.8483,-3.9862,-13.4109,6.9113,2.3864,2.22
2ctc,-5.6784,-1.7884,-1.4949,-6.0972,2.5089,1.1932,3.89
1v16,-8.9904,-0.6321,-4.1459,-12.7729,5.8758,2.6847,3.87
2j77,-8.4971,-2.7938,-3.8448,-7.3609,4.0110,1.4915,4.89
1ttm,-5.9432,-0.1488,-1.2535,-6.7111,1.2753,0.8949,7.35
1zc9,-2.2512,0.2937,-1.8271,-6.6426,4.1350,1.7898,3.22
1fzk,-14.0325,-2.8429,-5.2760,-20.1400,6.7690,7.4575,8.4
2bz6,-7.6246,-0.3325,-2.1250,-13.1155,4.9654,2.9830,7.09
2std,-7.8622,-0.0467,-0.1013,-9.2913,0.3839,1.1932,9.85
1zs0,-8.0531,0.0361,-1.1575,-12.5324,2.9159,2.6847,6.15
1vfn,-4.5485,-0.3844,-1.6716,-5.4091,2.9165,0.0000,5.6
1sv3,-3.0418,0.1211,-0.3099,-4.9022,1.4527,0.5966,4.74
1fkn,-9.3212,-1.3732,-5.3399,-19.3681,7.5127,9.2473,8.8
1fh9,-8.2088,-1.2446,-4.4565,-10.2412,5.3471,2.3864,6.43
2b7d,-10.6503,-1.1388,-4.6777,-14.4193,6.6026,2.9830,8.7
1nny,-14.1069,-4.8404,-4.1894,-16.4170,6.5672,4.7728,7.66
2gss,-3.6357,-0.4904,-0.3128,-5.7587,1.1365,1.7898,4.94
1m2q,-6.9217,-0.3828,-0.8047,-9.2662,2.6370,0.8949,6.1
1f4g,-7.7082,-1.4560,-2.4386,-11.6592,4.2660,3.5796,6.48
1vzq,-10.2294,-1.1176,-1.5505,-14.0585,4.7074,1.7898,7.44
1a69,-5.8963,-0.6411,-2.2168,-10.0491,5.5192,1.4915,5.3
8cpa,-6.5672,-0.2494,-3.4769,-12.1634,5.4446,3.8779,9.15
1elb,-4.0648,-0.0558,-0.4990,-10.8090,3.1227,4.1762,7.15
1v48,-9.0505,-1.9970,-3.9463,-11.0741,5.8788,2.0881,7.8
10gs,-10.9787,-2.9414,-4.5377,-11.9205,4.2448,4.1762,6.4
1sl3,-10.1079,-0.1541,-1.5472,-16.4395,5.0499,2.9830,11.85
1o3p,-7.9457,-0.2187,-3.0226,-10.7686,4.5727,1.4915,6.66
3gss,-10.2959,-3.0319,-4.5926,-13.1446,4.8054,5.6677,5.82
1v2o,-5.4572,-0.4249,-2.9105,-9.0241,3.6211,3.2813,4.73
1s39,-9.0486,-2.3370,-3.0618,-7.0585,3.1104,0.2983,7.7
2ceq,-8.2691,-1.2241,-4.3567,-8.4803,4.3005,1.4915,7.28
1det,-3.6574,-1.2376,-2.8403,-5.7103,4.0427,2.0881,4.3
1k4g,-5.5222,-0.6797,-1.7673,-8.8916,4.3250,1.4915,5.85
1f5k,-5.2305,-0.2365,-2.0909,-5.9330,2.4334,0.5966,3.74
1tsy,-7.2010,-1.0974,-4.1850,-8.9392,4.9326,2.0881,4.96
2bok,-8.7345,-0.3661,-1.8097,-12.5146,3.8678,2.0881,6.55
1kv5,-5.3032,-1.3991,-3.3963,-5.4850,3.4857,1.4915,4.22
1ai5,-5.2623,-0.7411,-1.0004,-6.5050,2.0892,0.8949,3.72
2rkm,-9.5961,-4.6432,-4.1586,-10.4442,5.4736,4.1762,3.9
1e1v,-2.2700,0.1287,1.2064,-8.3970,3.5987,1.1932,4.92
2g5u,-5.6935,-0.0182,-0.0008,-7.9637,1.3943,0.8949,8.49
2usn,-4.9796,-0.1824,-2.1138,-8.1558,2.4894,2.9830,6.51
4er2,-6.6515,0.0891,-3.2757,-14.9525,4.3285,7.1592,9.3
6std,-8.8887,-0.0501,-0.1466,-10.4808,0.5956,1.1932,8.64
2azr,-8.2345,-1.9193,-2.3042,-8.4023,3.1982,1.1932,3.64
1ppm,-8.1126,0.5708,-3.2865,-15.3360,4.5698,5.3694,5.8
1fki,-9.6212,-0.0576,-1.0047,-9.6635,1.1046,0.0000,7
1j16,-5.2188,-0.2294,-1.5954,-6.4106,2.4200,0.5966,3.84
1kv1,-9.1600,-0.4601,-1.5535,-9.3234,1.5804,0.5966,5.94
1fcz,-14.7956,-1.1839,-1.1487,-13.9085,0.2523,1.1932,9.22
1m0q,-9.8419,-2.0453,-4.6420,-12.3955,6.8545,2.3864,3.89
1b9j,-13.7896,-5.3140,-5.6200,-14.5951,6.3701,5.3694,5.96
1b7h,-13.2473,-5.1149,-5.3529,-15.0076,6.5604,5.6677,8.02
1hk4,-7.0290,-0.8396,-0.6542,-11.1134,3.4901,2.0881,5.31
2d3u,-9.0061,-1.1552,-1.0089,-9.6186,1.2852,1.4915,6.92
1zvx,-7.3648,0.7918,-1.0905,-12.7211,2.9702,2.6847,9.22
